,dim,marg_lik,mean_log_pred,rep
0,1.0,-837.7017294272914,-0.27470372681132416,0.0
1,1.0,-869.4428006539763,-0.25969318374108435,1.0
2,1.0,-823.6605475052272,-0.26965808938896935,2.0
3,1.0,-845.71137745174,-0.271446795080386,3.0
4,1.0,-882.9068441924969,-0.27109588074720536,4.0
5,2.0,-1006.9238257192837,-0.2959770994047135,0.0
6,2.0,-980.6773645416936,-0.30890904278027487,1.0
7,2.0,-925.9853609729525,-0.3177481277496388,2.0
8,2.0,-955.3440132722312,-0.28082567618916005,3.0
9,2.0,-982.3154544930849,-0.2843425780712863,4.0
10,3.0,-1326.7748691378988,-0.31584682161660144,0.0
11,3.0,-1325.8115339532196,-0.35269873144421277,1.0
12,3.0,-1361.423421967124,-0.3558389320374129,2.0
13,3.0,-1293.422565438972,-0.3483210943870619,3.0
14,3.0,-1345.7169791252554,-0.36296460788340146,4.0
15,4.0,-1911.297629335895,-0.5160508669013705,0.0
16,4.0,-1994.821851357254,-0.4811892530592416,1.0
17,4.0,-1952.578556533183,-0.5050866145549741,2.0
18,4.0,-1909.2183096350893,-0.5189374932055857,3.0
19,4.0,-1891.3621562494016,-0.4810128688893551,4.0
20,5.0,-2801.0006403316493,-0.7587551467820399,0.0
21,5.0,-2784.0874891721687,-0.7430902882208104,1.0
22,5.0,-2735.788344193647,-0.7659209308116305,2.0
23,5.0,-2701.184855500742,-0.6887399274824433,3.0
24,5.0,-2730.074447125301,-0.7242153191689188,4.0
