,dim,marg_lik,mean_log_pred,num_inducing,rep,time
0,1.0,-1388.228809422099,-0.3054530609433443,5.0,0.0,2.290283441543579
1,1.0,-1023.7466660072133,-0.27792751140819527,10.0,0.0,3.547790288925171
2,1.0,-992.1496176270714,-0.2762277780186542,15.0,0.0,4.973065137863159
3,1.0,-990.8753747118407,-0.27719754365195853,20.0,0.0,5.6570799350738525
4,1.0,-1143.8643919516137,-0.276226528807368,50.0,0.0,19.295403242111206
5,1.0,-1491.3036469191902,-0.3136833095805125,5.0,1.0,1.4541411399841309
6,1.0,-1056.118169748948,-0.2696598639979519,10.0,1.0,3.5831751823425293
7,1.0,-1026.3683004054087,-0.26714715289081853,15.0,1.0,4.938499212265015
8,1.0,-1026.1731334780193,-0.26565920003769217,20.0,1.0,5.735104084014893
9,1.0,-1198.2557588662153,-0.26603817314019296,50.0,1.0,12.346179485321045
10,1.0,-1570.4814585653394,-0.3672442826191707,5.0,2.0,2.1350550651550293
11,1.0,-1028.560542084399,-0.28413365209609687,10.0,2.0,3.63749623298645
12,1.0,-983.0121109827074,-0.2758701090252655,15.0,2.0,4.901278257369995
13,1.0,-985.6833519817721,-0.2749445064406601,20.0,2.0,5.730725049972534
14,1.0,-1110.6465096388868,-0.2743722335198829,50.0,2.0,19.354379892349243
15,1.0,-1470.0965121304234,-0.32243443293157487,5.0,3.0,1.5957574844360352
16,1.0,-1028.563170850596,-0.2792933944374496,10.0,3.0,3.568580389022827
17,1.0,-1001.3797743767985,-0.2788223049568843,15.0,3.0,4.985151290893555
18,1.0,-1006.3840616518635,-0.2786578252915722,20.0,3.0,5.710080146789551
19,1.0,-1171.2769307529297,-0.27936065133321725,50.0,3.0,13.529144763946533
20,1.0,-1482.0208224430837,-0.31720698857665125,5.0,4.0,2.023252487182617
21,1.0,-1092.1847963565465,-0.29299229075962285,10.0,4.0,3.567227363586426
22,1.0,-1045.5648410019583,-0.2832015130171393,15.0,4.0,4.904983043670654
23,1.0,-1043.0176300775329,-0.2814445899235652,20.0,4.0,5.78507924079895
24,1.0,-1171.0610483202654,-0.28276630001692393,50.0,4.0,19.361876487731934
25,2.0,-2178.2466112308175,-0.37979268916518755,5.0,0.0,4.68289041519165
26,2.0,-1419.5136709575393,-0.31878214646290043,10.0,0.0,7.46875262260437
27,2.0,-1395.91336721545,-0.31758539850974854,15.0,0.0,9.222981452941895
28,2.0,-1390.8435524537758,-0.3156582718927999,20.0,0.0,13.139807939529419
29,2.0,-8891.686154702224,-0.3475780977815894,50.0,0.0,20.436707735061646
30,2.0,-2163.8335138474936,-0.393500441889265,5.0,1.0,3.0509841442108154
31,2.0,-1396.078067719309,-0.32912789676095977,10.0,1.0,7.353388547897339
32,2.0,-1357.5877772278354,-0.32816243455433897,15.0,1.0,10.304205894470215
33,2.0,-1365.4947472238882,-0.3258053726431839,20.0,1.0,12.94139289855957
34,2.0,nan,-0.38337551101254075,50.0,1.0,14.431877851486206
35,2.0,-2114.1332354213464,-0.3931090228426261,5.0,2.0,4.771649360656738
36,2.0,-1339.231298395082,-0.33704728480022034,10.0,2.0,7.330748081207275
37,2.0,-1313.74894652691,-0.33592975470321673,15.0,2.0,8.783734321594238
38,2.0,-1317.2304198323006,-0.33496034463907626,20.0,2.0,12.915951251983643
39,2.0,-5408.1150865554255,-0.3346084676199586,50.0,2.0,41.27242660522461
40,2.0,-2090.7842049624255,-0.3616982075315392,5.0,3.0,4.752274990081787
41,2.0,-1377.1616466394798,-0.30134360464075005,10.0,3.0,7.292577505111694
42,2.0,-1330.7439905515123,-0.2982121920145588,15.0,3.0,10.432098865509033
43,2.0,-1341.502219973543,-0.2995292423793146,20.0,3.0,12.662678003311157
44,2.0,-6489.742759989568,-0.3517669842207805,50.0,3.0,34.85339570045471
45,2.0,-2203.252909098622,-0.3941309496733219,5.0,4.0,4.745875120162964
46,2.0,-1404.4954739328055,-0.32009138111717733,10.0,4.0,7.264381408691406
47,2.0,-1399.9244580746904,-0.32463184335097695,15.0,4.0,8.30919337272644
48,2.0,-1370.079658778005,-0.3163509488779162,20.0,4.0,12.748419523239136
49,2.0,-6333.687057683324,-0.3268075410401251,50.0,4.0,35.13228988647461
50,3.0,-3231.90665248137,-0.467818072852631,5.0,0.0,10.756815433502197
51,3.0,-2433.933508097567,-0.38209783447030043,10.0,0.0,29.937402963638306
52,3.0,-2664.9728679554914,-0.38968418574650576,15.0,0.0,59.423441648483276
53,3.0,-3093.8144790583333,-0.40908578271924945,20.0,0.0,103.65078949928284
54,3.0,-3174.3732966982907,-0.4684650517118479,5.0,1.0,10.643425226211548
55,3.0,-2439.5342097151447,-0.3980824406574279,10.0,1.0,29.84706735610962
56,3.0,-2730.8654089600695,-0.39924780206175536,15.0,1.0,59.19956302642822
57,3.0,-4348.945214776916,-0.5333903590809804,20.0,1.0,27.233985900878906
58,3.0,-3275.4767048433214,-0.48099938422730715,5.0,2.0,10.673399686813354
59,3.0,-2513.52594822829,-0.4135329078572645,10.0,2.0,29.796669483184814
60,3.0,-2745.836614569882,-0.4189159696547534,15.0,2.0,59.17709398269653
61,3.0,-3301.4418507393307,-0.44382293038095555,20.0,2.0,104.37232708930969
62,3.0,-3252.4292129363207,-0.4728426642584785,5.0,3.0,10.767237663269043
63,3.0,-3077.7052314976827,-0.4842302107286728,10.0,3.0,8.394131898880005
64,3.0,-3357.715594870134,-0.4944288956416401,15.0,3.0,18.75640320777893
65,3.0,-2864.4514980577587,-0.40253449025465077,20.0,3.0,103.51303958892822
