,dim,marg_lik,mean_log_pred,num_inducing,rep,time
0,1.0,-928.5586041498755,-0.28210616966475704,10.0,0.0,0.2924923896789551
1,1.0,-838.2114434757823,-0.27484495605335013,50.0,0.0,0.2501399517059326
2,1.0,-837.770391285485,-0.27469747842580533,100.0,0.0,0.25801801681518555
3,1.0,-837.7213834812319,-0.27470204191225717,200.0,0.0,0.3565969467163086
4,1.0,-837.7096368217972,-0.27470377393489964,500.0,0.0,0.4720747470855713
5,1.0,-974.1649231367555,-0.2706496044349036,10.0,1.0,0.3050410747528076
6,1.0,-870.2531520881257,-0.2597630511773069,50.0,1.0,0.2454700469970703
7,1.0,-869.5339620104405,-0.2596909783086258,100.0,1.0,0.321718692779541
8,1.0,-869.4623364330982,-0.2596918683257318,200.0,1.0,0.2846202850341797
9,1.0,-869.4510966637827,-0.25969272372257224,500.0,1.0,0.4698028564453125
10,1.0,-915.8306581043471,-0.2768838811494685,10.0,2.0,0.3143599033355713
11,1.0,-824.1638947394349,-0.26969981764743844,50.0,2.0,0.24364137649536133
12,1.0,-823.7248478438232,-0.26965081714138867,100.0,2.0,0.3168189525604248
13,1.0,-823.6794015787564,-0.2696562903537514,200.0,2.0,0.2853848934173584
14,1.0,-823.6688104924015,-0.269657249864894,500.0,2.0,0.5337095260620117
15,1.0,-963.8360137466207,-0.2791884495062057,10.0,3.0,0.24113917350769043
16,1.0,-846.2508176621486,-0.27135044747040843,50.0,3.0,0.3140528202056885
17,1.0,-845.7863805514953,-0.27145407005047717,100.0,3.0,0.2554473876953125
18,1.0,-845.7296986311849,-0.2714472957561786,200.0,3.0,0.28660082817077637
19,1.0,-845.7187837765177,-0.2714470533763743,500.0,3.0,0.5439577102661133
20,1.0,-1003.0262454212225,-0.2928240637373526,10.0,4.0,0.23804211616516113
21,1.0,-883.5186526335146,-0.27114948755726964,50.0,4.0,0.31349658966064453
22,1.0,-882.9767619706581,-0.27109246054956154,100.0,4.0,0.2532317638397217
23,1.0,-882.9266352603881,-0.27109589717890176,200.0,4.0,0.34802913665771484
24,1.0,-882.9149195043028,-0.2710960835096242,500.0,4.0,0.4710209369659424
25,2.0,-5468.240196700872,-0.6441216643240542,10.0,0.0,0.4541482925415039
26,2.0,-1445.5686960129933,-0.34940223168050905,50.0,0.0,0.40767765045166016
27,2.0,-1126.9140861049327,-0.3041897426166443,100.0,0.0,0.5017917156219482
28,2.0,-1032.1477833600857,-0.2981923768946047,200.0,0.0,0.5269153118133545
29,2.0,-1009.5602551405245,-0.2962234567369241,500.0,0.0,0.7377889156341553
30,2.0,-6129.362986390181,-0.7257665015144067,10.0,1.0,0.38754773139953613
31,2.0,-1400.5112042220426,-0.355530598815835,50.0,1.0,0.4999692440032959
32,2.0,-1096.3437310404097,-0.3161411234718479,100.0,1.0,0.4915907382965088
33,2.0,-1003.9567437977312,-0.3080405060245546,200.0,1.0,0.5293624401092529
34,2.0,-983.1884932113007,-0.309132159663008,500.0,1.0,0.6812112331390381
35,2.0,-7531.210776038473,-0.8494003958018809,10.0,2.0,0.46503543853759766
36,2.0,-1346.6605324685497,-0.34800683628871026,50.0,2.0,0.47632551193237305
37,2.0,-1032.013083037271,-0.32769631597637666,100.0,2.0,0.43125128746032715
38,2.0,-947.1990310650763,-0.3183724527713736,200.0,2.0,0.5422022342681885
39,2.0,-928.5308430920577,-0.3178755192650543,500.0,2.0,0.7350668907165527
40,2.0,-6156.956783192949,-0.698516044587498,10.0,3.0,0.4545598030090332
41,2.0,-1382.5006231955613,-0.33470679437308937,50.0,3.0,0.41413164138793945
42,2.0,-1052.848422908115,-0.29042360761764874,100.0,3.0,0.5085244178771973
43,2.0,-977.2490356784583,-0.28274509134669584,200.0,3.0,0.5308575630187988
44,2.0,-958.1593230410544,-0.2809187718607156,500.0,3.0,0.7424862384796143
45,2.0,-5533.828498337101,-0.6898400015638863,10.0,4.0,0.38843631744384766
46,2.0,-1419.978449262413,-0.3380213815294491,50.0,4.0,0.4885244369506836
47,2.0,-1086.9429421577497,-0.2879327225310853,100.0,4.0,0.4772374629974365
48,2.0,-1007.8754693279461,-0.2855239624826822,200.0,4.0,0.4592306613922119
49,2.0,-985.2551107028594,-0.28453521937734527,500.0,4.0,0.7473087310791016
50,3.0,-17432.62998500037,-1.1964432020161608,10.0,0.0,0.5955204963684082
51,3.0,-5825.460338313405,-0.7378679104707768,50.0,0.0,0.6235921382904053
52,3.0,-3196.750490593309,-0.5149969205576456,100.0,0.0,0.6580955982208252
53,3.0,-2075.935706809203,-0.40574913858088896,200.0,0.0,0.6910896301269531
54,3.0,-1474.7827146183117,-0.3317061630627327,500.0,0.0,0.925196647644043
55,3.0,-15911.820147076167,-1.1223797660924635,10.0,1.0,0.6026725769042969
56,3.0,-5376.965504455891,-0.6641197506224109,50.0,1.0,0.6330056190490723
57,3.0,-3196.37087974365,-0.5185303389889593,100.0,1.0,0.6565091609954834
58,3.0,-2090.5942435603756,-0.4142976322895141,200.0,1.0,0.6931247711181641
59,3.0,-1490.7414681521568,-0.35668681343581926,500.0,1.0,0.9289209842681885
60,3.0,-16332.990098667658,-1.111693354827294,10.0,2.0,0.6026418209075928
61,3.0,-5719.060562196673,-0.6946850551209607,50.0,2.0,0.6348364353179932
62,3.0,-3426.679530633428,-0.539663214245375,100.0,2.0,0.6552340984344482
63,3.0,-2192.8310988526755,-0.43096466177740606,200.0,2.0,0.68231201171875
64,3.0,-1531.9013333475032,-0.3689251331984242,500.0,2.0,0.9267528057098389
65,3.0,-14351.898810871437,-1.0385179841463377,10.0,3.0,0.5975687503814697
66,3.0,-5325.630716383281,-0.6428433085654123,50.0,3.0,0.6206338405609131
67,3.0,-3427.64752504852,-0.5166408867112564,100.0,3.0,0.645784854888916
68,3.0,-2024.0885154737407,-0.4002408725170268,200.0,3.0,0.6894927024841309
69,3.0,-1458.4003038321425,-0.35998261843187335,500.0,3.0,0.9618706703186035
70,3.0,-15204.958590437604,-1.103314973048225,10.0,4.0,0.6122028827667236
71,3.0,-5923.14521845478,-0.7544265241184289,50.0,4.0,0.6446964740753174
72,3.0,-3469.9318275713813,-0.552155595539643,100.0,4.0,0.6633846759796143
73,3.0,-2135.610797023859,-0.4375387457107565,200.0,4.0,0.7006924152374268
74,3.0,-1515.9275932969958,-0.37034372420796785,500.0,4.0,0.9452776908874512
75,4.0,-23283.669356748138,-1.331464639567278,10.0,0.0,0.7741422653198242
76,4.0,-13530.70777045368,-1.0749144295447932,50.0,0.0,0.7991349697113037
77,4.0,-9232.642010114832,-0.8895098937625712,100.0,0.0,0.8670196533203125
78,4.0,-6076.422417392381,-0.7459041279713025,200.0,0.0,0.8705317974090576
79,4.0,-3476.881591450663,-0.6114945004419868,500.0,0.0,1.1319143772125244
80,4.0,-25602.985233485135,-1.3707426139843086,10.0,1.0,0.7794055938720703
81,4.0,-14581.288724129605,-1.0937084800452594,50.0,1.0,0.8303060531616211
82,4.0,-10214.477993927252,-0.9275034670137822,100.0,1.0,0.8454585075378418
83,4.0,-6505.357686263065,-0.7686972347043944,200.0,1.0,0.8643865585327148
84,4.0,-3554.7377889356903,-0.5816493384395997,500.0,1.0,1.1685216426849365
85,4.0,-21578.305194736087,-1.2670445641314865,10.0,2.0,0.7778279781341553
86,4.0,-13159.26870743496,-1.059114904086246,50.0,2.0,0.7978782653808594
87,4.0,-9183.852679882508,-0.9174592657610947,100.0,2.0,0.860292911529541
88,4.0,-6264.1500320557425,-0.796926744679394,200.0,2.0,0.8778483867645264
89,4.0,-3510.6401678189395,-0.6281929482776334,500.0,2.0,1.1150810718536377
90,4.0,-21501.43837322874,-1.2879827822148713,10.0,3.0,0.7703690528869629
91,4.0,-13397.164161083216,-1.0817823400242064,50.0,3.0,0.8267748355865479
92,4.0,-9605.70981926598,-0.9427221063579712,100.0,3.0,0.8200602531433105
93,4.0,-6179.23958167421,-0.7821423924734097,200.0,3.0,0.8713827133178711
94,4.0,-3388.9879697473607,-0.600597614574015,500.0,3.0,1.1622593402862549
95,4.0,-23917.454661612166,-1.363003366482535,10.0,4.0,0.7856974601745605
96,4.0,-13552.200363258558,-1.0680813543281913,50.0,4.0,0.8006877899169922
