,dim,marg_lik,mean_log_pred,num_inducing,rep,time
0,1.0,-20560.157118606254,-0.9055263493482014,1.0,0.0,0.6005566120147705
1,1.0,-6104.026458465942,-0.5097474431792401,3.0,0.0,0.5882344245910645
2,1.0,-2838.792157144977,-0.3658897232502778,5.0,0.0,0.49857616424560547
3,1.0,-1941.2854542958157,-0.30254781272317866,7.0,0.0,0.6304433345794678
4,1.0,-1618.4208714473825,-0.2782116534249783,9.0,0.0,0.6009423732757568
5,1.0,-19380.67261546841,-0.9151065794298855,1.0,1.0,0.4781148433685303
6,1.0,-7112.871508789183,-0.6493817095853839,3.0,1.0,0.6124777793884277
7,1.0,-2750.225142001138,-0.37293539325145764,5.0,1.0,0.592902660369873
8,1.0,-2031.1817700613901,-0.3261703919251493,7.0,1.0,0.49390435218811035
9,1.0,-1664.1580547570447,-0.2916769756793978,9.0,1.0,0.6279981136322021
10,1.0,-17557.359106260075,-0.7959974164786192,1.0,2.0,0.5720789432525635
11,1.0,-6059.686327202417,-0.5003365990440106,3.0,2.0,0.48439502716064453
12,1.0,-2835.767177271162,-0.3539901017987216,5.0,2.0,0.6128036975860596
13,1.0,-1862.0572141249795,-0.2691631391265832,7.0,2.0,0.593381404876709
14,1.0,-1638.5767797377957,-0.253868086921959,9.0,2.0,0.5038745403289795
15,1.0,-24675.045510627708,-1.03793657239921,1.0,3.0,0.6034567356109619
16,1.0,-5840.997415703569,-0.44743282620384467,3.0,3.0,0.590874195098877
17,1.0,-2607.658251745066,-0.2976392561521135,5.0,3.0,0.49079370498657227
18,1.0,-1944.2652052641424,-0.26495070201312315,7.0,3.0,0.6197032928466797
19,1.0,-1570.917329183194,-0.23249952143092628,9.0,3.0,0.6395437717437744
20,1.0,-23055.44492107696,-0.942678050525342,1.0,4.0,0.48618245124816895
21,1.0,-5290.731479629296,-0.43350039485538744,3.0,4.0,0.60567307472229
22,1.0,-2413.364531248695,-0.30868012356450736,5.0,4.0,0.5976111888885498
23,1.0,-1814.5511354510709,-0.2853629652492618,7.0,4.0,0.4980912208557129
24,1.0,-1612.0754121409336,-0.27367476241660993,9.0,4.0,0.6347801685333252
25,2.0,-32553.87946650148,-1.1164006591158302,1.0,0.0,0.8778383731842041
26,2.0,-8745.469056394486,-0.6045437546590142,9.0,0.0,0.9462630748748779
27,2.0,-3278.2661933108466,-0.34477886354953136,25.0,0.0,1.421550989151001
28,2.0,-2077.710069543904,-0.27523386708237435,49.0,0.0,2.9241268634796143
29,2.0,-1729.3338654850013,-0.25446596439977937,81.0,0.0,5.784899473190308
30,2.0,-39682.78141106971,-1.2612314326938612,1.0,1.0,0.8984620571136475
31,2.0,-10484.93422859535,-0.687474753382244,9.0,1.0,1.0414495468139648
32,2.0,-3328.363297745982,-0.34367695993985004,25.0,1.0,1.2884745597839355
33,2.0,-2050.9947084932573,-0.2650587043060382,49.0,1.0,1.7958316802978516
34,2.0,-1718.0484130433651,-0.25464438226860925,81.0,1.0,5.902190446853638
35,2.0,-28949.51801191371,-1.0686621300889365,1.0,2.0,0.9101545810699463
36,2.0,-9336.627081686973,-0.6457580640577559,9.0,2.0,1.0173780918121338
37,2.0,-3298.998738870585,-0.37338392133408543,25.0,2.0,1.3294751644134521
38,2.0,-2088.4985601380686,-0.29590889180526797,49.0,2.0,2.9916939735412598
39,2.0,-1763.5365332335678,-0.2858020330102597,81.0,2.0,4.046786308288574
40,2.0,-38369.233125954044,-1.265407465891742,1.0,3.0,0.9077620506286621
41,2.0,-9809.873669821052,-0.603788429191322,9.0,3.0,0.9687991142272949
42,2.0,-3347.279456443972,-0.3724315666670275,25.0,3.0,1.1975839138031006
43,2.0,-1988.9336785839332,-0.28618638317849854,49.0,3.0,3.0166232585906982
44,2.0,-1680.2743372508194,-0.27093260256395174,81.0,3.0,9.189433336257935
45,2.0,-34169.03416557848,-1.1750891680052729,1.0,4.0,0.9011178016662598
46,2.0,-9341.930731941757,-0.6376735260635822,9.0,4.0,0.9446487426757812
47,2.0,-3306.405088913594,-0.35320377780209716,25.0,4.0,1.2167584896087646
48,2.0,-2044.5139873003682,-0.29745853429656327,49.0,4.0,2.125392436981201
49,2.0,-1739.8494760971334,-0.2827102423306557,81.0,4.0,3.3404886722564697
50,3.0,-47702.753234181575,-1.4232497274061011,1.0,0.0,1.3119752407073975
51,3.0,-11657.084108182451,-0.7206386509791073,27.0,0.0,2.195481061935425
52,3.0,-3642.380336186772,-0.41195086453969815,125.0,0.0,15.759714841842651
53,3.0,-2285.190646070816,-0.36000746123203375,343.0,0.0,87.68922209739685
54,3.0,-2058.2431061073767,-0.3568152932165319,729.0,0.0,558.6105809211731
55,3.0,-46649.18771736231,-1.463068690618738,1.0,1.0,1.2147619724273682
56,3.0,-11737.417511928128,-0.6958114670560415,27.0,1.0,2.454129219055176
57,3.0,-3624.6570788901627,-0.3836253287950748,125.0,1.0,26.31820821762085
58,3.0,-2281.877384645919,-0.33151957364862844,343.0,1.0,82.22032737731934
59,3.0,-2051.54184649689,-0.32709131832791283,729.0,1.0,942.7202174663544
60,3.0,-40253.590213083815,-1.2487775402853043,1.0,2.0,1.2149832248687744
61,3.0,-11550.404475414016,-0.7041440145807447,27.0,2.0,2.761622667312622
62,3.0,-3628.419017109318,-0.4151925213405003,125.0,2.0,25.611007928848267
63,3.0,-2301.5733812084363,-0.37646037047527725,343.0,2.0,188.66278743743896
64,3.0,-2071.8795899882243,-0.37640394189696047,729.0,2.0,508.1673529148102
65,3.0,-38521.927774620504,-1.2461724689984077,1.0,3.0,1.2174954414367676
66,3.0,-12049.500529717265,-0.699209439530184,27.0,3.0,2.300199508666992
67,3.0,-3701.0991664058893,-0.3755997317191905,125.0,3.0,17.471941471099854
68,3.0,-2363.638567546237,-0.3095930058116315,343.0,3.0,232.95183062553406
69,3.0,-2138.469289712084,-0.3047161616436973,729.0,3.0,596.0205881595612
70,3.0,-38841.93076578811,-1.2379599528803689,1.0,4.0,1.24269700050354
71,3.0,-11254.945176523634,-0.7061744109870101,27.0,4.0,2.0952634811401367
72,3.0,-3595.269979169436,-0.4211672989184999,125.0,4.0,17.27107834815979
73,3.0,-2227.7283145391884,-0.3627971199584362,343.0,4.0,73.90402245521545
74,3.0,-2003.0772900177071,-0.35701619497593445,729.0,4.0,716.0874593257904
75,4.0,-47496.91944595583,-1.3902758113213038,1.0,0.0,1.5943589210510254
76,4.0,-13515.971748568787,-0.7719248880408345,81.0,0.0,10.626392602920532
77,4.0,-4136.976318663881,-0.4616584729766611,625.0,0.0,726.6377198696136
78,4.0,-3035.8822842486006,-0.44126512382064087,2401.0,0.0,6793.308758497238
79,4.0,-48081.35284301065,-1.3837077026530278,1.0,1.0,1.5896012783050537
80,4.0,-13433.725949073409,-0.7587577233759268,81.0,1.0,23.556353092193604
81,4.0,-4110.794858170171,-0.4552253016250882,625.0,1.0,624.1758453845978
82,4.0,-2998.0545219055202,-0.4310836885801748,2401.0,1.0,6148.557254552841
83,4.0,-48954.66529375497,-1.4849033086324204,1.0,2.0,1.5326838493347168
84,4.0,-13105.518106167334,-0.7845900445686668,81.0,2.0,12.126684427261353
85,4.0,-4038.636325221727,-0.5013242057049193,625.0,2.0,576.8210427761078
86,4.0,-2945.572577043982,-0.49372461091089975,2401.0,2.0,8239.1995408535
87,4.0,-45535.55209852838,-1.3690045295270816,1.0,3.0,1.621302604675293
88,4.0,-13395.696192037203,-0.7628277096463096,81.0,3.0,16.6723473072052
