dim,rep,num_inducing,marg_lik,mean_log_pred,time
1,0,5,-21090.309179869735,-0.0,0.1408531665802002
1,0,9,-4670.980866938022,-0.0,0.14042401313781738
1,0,21,-2786.0965654393585,-0.0,0.13935422897338867
1,0,41,-2703.870940716806,-0.0,0.1459336280822754
1,1,5,-11802.303065319567,-0.0,0.14107465744018555
1,1,9,-4616.690141402156,-0.0,0.13895225524902344
1,1,21,-2976.0707158510777,-0.0,0.14175844192504883
1,1,41,-2839.158036102861,-0.0,0.14465928077697754
1,2,5,-12011.964489509613,-0.0,0.14511942863464355
1,2,9,-5243.304559630451,-0.0,0.14204907417297363
1,2,21,-2868.2357259815108,-0.0,0.14085149765014648
1,2,41,-2743.408927714532,-0.0,0.14954876899719238
1,3,5,-10409.319317281363,-0.0,0.1373894214630127
1,3,9,-4436.8988815379125,-0.0,0.13878440856933594
1,3,21,-2863.0798520746466,-0.0,0.14207935333251953
1,3,41,-2752.9030821218475,-0.0,0.14493179321289062
1,4,5,-12388.443403569348,-0.0,0.1384902000427246
1,4,9,-4655.711562093762,-0.0,0.13968372344970703
1,4,21,-2956.448408842298,-0.0,0.14195871353149414
1,4,41,-2832.186260323884,-0.0,0.14519405364990234
2,0,9,-47005.04220536067,-0.0,0.19989395141601562
2,0,49,-11057.275156835152,-0.0,0.21248817443847656
2,0,225,-3921.418917409792,-0.0,0.305462121963501
2,0,441,-3427.9185863373714,-0.0,0.4988114833831787
2,0,729,-3269.2134922906116,-0.0,0.9178314208984375
2,0,1225,-3215.6124481327497,-0.0,2.0367770195007324
2,0,2025,-3188.9894760605457,-0.0,5.043081760406494
2,1,9,-63224.80231928432,-0.0,0.20100140571594238
2,1,49,-11497.57609324812,-0.0,0.21552515029907227
2,1,225,-3867.5566264921654,-0.0,0.3071558475494385
2,1,441,-3354.242643816993,-0.0,0.4998161792755127
2,1,729,-3224.902039331464,-0.0,0.9194104671478271
2,1,1225,-3174.920806703856,-0.0,2.0205235481262207
2,1,2025,-3150.89188904022,-0.0,5.086402177810669
2,2,9,-58516.17763042482,-0.0,0.19991564750671387
2,2,49,-10578.955942039109,-0.0,0.21683406829833984
2,2,225,-3798.31817190774,-0.0,0.3048834800720215
2,2,441,-3299.1011848014823,-0.0,0.49922680854797363
2,2,729,-3169.6907007238988,-0.0,0.9194793701171875
2,2,1225,-3118.55800577889,-0.0,2.0379223823547363
