dim,rep,marg_lik,mean_log_pred
1,0,-2690.1629000248713,-0.27125883335798245
1,1,-2825.245061444779,-0.2784741679233458
1,2,-2729.9903528675686,-0.27336706995585497
1,3,-2738.285145127309,-0.2775156256835396
1,4,-2820.7253978786466,-0.2517344408052844
2,0,-3169.828238858907,-0.2955186280598119
2,1,-3132.258525786583,-0.2884195879080697
2,2,-3074.1816415381136,-0.29844831204635686
2,3,-3184.020135310844,-0.28833510428712167
2,4,-3126.185206557966,-0.29975041031987687
3,0,-4382.758088853987,-0.3375641701779074
3,1,-4362.44215609646,-0.33396178535567494
3,2,-4326.266654963591,-0.3769536719872694
3,3,-4332.906652416992,-0.3515712362806404
3,4,-4423.756100808327,-0.3454396833724148
4,0,-7041.166818771035,-0.4938075352939436
4,1,-6978.153136882275,-0.5344545007092458
4,2,-6848.095882120788,-0.5536507257326978
4,3,-6787.980954092665,-0.540749562611074
4,4,-6914.9629516022305,-0.522362705986961
