,dim,marg_lik,mean_log_pred,num_inducing,rep,time
0,1,-163129.521977582,-1.3902327321,1,0,1.0294983387
1,1,-36700.9393282619,-0.6086331685,2,0,1.245470047
2,1,-17125.0489493177,-0.394229328,3,0,1.750535965
3,1,-11339.3383567188,-0.321929225,4,0,4.8442847729
4,1,-9172.6889978403,-0.2922264277,5,0,8.9415411949
5,1,-96617.6169233311,-0.9899320194,1,1,2.3503434658
6,1,-36776.0868458396,-0.6126171892,2,1,2.3463282585
7,1,-16638.5978551327,-0.3777633861,3,1,3.266554594
8,1,-11205.1583396761,-0.309602409,4,1,5.5287230015
9,1,-9137.3419837545,-0.2899247788,5,1,11.4721782207
10,1,-112414.717114258,-1.068387634,1,2,3.4273743629
11,1,-48196.5877968583,-0.7532798608,2,2,3.7662322521
12,1,-19131.1274957307,-0.4433355702,3,2,5.3804323673
13,1,-13277.0725550485,-0.3775441284,4,2,7.852175951
14,1,-10340.0603202887,-0.3338737166,5,2,12.5219988823
15,1,-84740.1392174761,-0.9221873765,1,3,4.7717239857
16,1,-34683.5819246753,-0.5824640544,2,3,6.2012057304
17,1,-17508.4711248216,-0.4109688826,3,3,5.5053617954
18,1,-11072.8682615446,-0.3275815851,4,3,8.9418842793
19,1,-9058.210368154,-0.3106820626,5,3,13.6855051517
20,1,-101823.833892051,-1.0289776775,1,4,8.5908629894
21,1,-43548.1484728577,-0.7054812631,2,4,6.4720704556
22,1,-17885.2509377002,-0.4160584025,3,4,7.0788984299
23,1,-11979.3883065271,-0.3420617906,4,4,12.0302066803
24,1,-9183.8235354121,-0.2965314666,5,4,14.0548911095
25,2,-260608.285856309,-1.7800841227,1,0,11.8059020042
26,2,-79125.0094850491,-0.957441348,2,0,13.6840434074
27,2,-31272.3975382178,-0.5661626454,3,0,24.2927367687
28,2,-18715.7828296915,-0.4235031694,4,0,27.2531616688
29,2,-13808.629053026,-0.370569758,5,0,32.5681929588
30,2,-191058.320910001,-1.4415714654,1,1,11.124755621
31,2,-75162.5469215734,-0.909308489,2,1,12.3983688354
32,2,-34096.9833273257,-0.612070349,3,1,26.2006278038
33,2,-18604.980920802,-0.4367228701,4,1,33.3909826279
34,2,-14166.8914482839,-0.394157491,5,1,44.5000460148
35,2,-209353.323929736,-1.4888570325,1,2,21.7587478161
36,2,-68400.4117286157,-0.8403160921,2,2,24.806440115
37,2,-32228.3765678389,-0.5551775032,3,2,32.3303363323
38,2,-19358.742926378,-0.4045085444,4,2,37.0485231876
39,2,-14321.481865522,-0.336783471,5,2,62.0731093884
40,2,-152170.965679145,-1.2392761827,1,3,32.0210719109
41,2,-68091.8488045309,-0.8592524213,2,3,29.3867223263
42,2,-31041.3570071967,-0.5665461854,3,3,47.9873123169
43,2,-18801.0298435594,-0.423166788,4,3,57.8946511745
44,2,-13658.6024836977,-0.3515445776,5,3,61.825694561
45,2,-203071.911230258,-1.4955641626,1,4,26.614590168
46,2,-71384.3913036266,-0.881980109,2,4,38.2865195274
47,2,-31003.8768967535,-0.5743284464,3,4,23.7108082771
48,2,-18990.1236481018,-0.4473041276,4,4,32.8145582676
49,2,-14146.0123161465,-0.3821302987,5,4,37.2826828957
50,3,-214906.313883517,-1.4994817984,1,0,22.3703112602
51,3,-99189.4093820745,-1.0247385552,2,0,38.7566239834
52,3,-44098.9109543395,-0.6918645007,3,0,52.304402113
53,3,-26686.8619126413,-0.5407444659,4,0,71.7115097046
54,3,-19492.6229651385,-0.4677672824,5,0,75.8548409939
55,3,-246078.361870829,-1.6961401221,1,1,26.3079726696
56,3,-98434.9965480567,-1.0524467685,2,1,42.9319140911
57,3,-45306.2707986228,-0.7092717467,3,1,51.9495639801
58,3,-26198.798216975,-0.5080750735,4,1,66.8605215549
59,3,-19253.5814627824,-0.4270662035,5,1,91.0642616749
60,3,-183849.787458899,-1.4236022617,1,2,38.9895310402
61,3,-101828.410946219,-1.0770260275,2,2,50.3927547932
