dim,rep,num_inducing,marg_lik,mean_log_pred,time
1,0,5,-21090.309179869735,-0.0,0.1374678611755371
1,0,9,-4670.980866938022,-0.0,0.13763952255249023
1,0,21,-2786.0965654393585,-0.0,0.13921403884887695
1,0,41,-2703.870940716806,-0.0,0.14667105674743652
1,1,5,-11802.303065319567,-0.0,0.13776254653930664
1,1,9,-4616.690141402156,-0.0,0.13835716247558594
1,1,21,-2976.0707158510777,-0.0,0.1397690773010254
1,1,41,-2839.158036102861,-0.0,0.14712238311767578
1,2,5,-12011.964489509613,-0.0,0.14057326316833496
1,2,9,-5243.304559630451,-0.0,0.13857436180114746
1,2,21,-2868.2357259815108,-0.0,0.13998079299926758
1,2,41,-2743.408927714532,-0.0,0.14842486381530762
1,3,5,-10409.319317281363,-0.0,0.13833260536193848
1,3,9,-4436.8988815379125,-0.0,0.1409742832183838
1,3,21,-2863.0798520746466,-0.0,0.14031505584716797
1,3,41,-2752.9030821218475,-0.0,0.14663243293762207
1,4,5,-12388.443403569348,-0.0,0.13801145553588867
1,4,9,-4655.711562093762,-0.0,0.14105582237243652
1,4,21,-2956.448408842298,-0.0,0.1389484405517578
1,4,41,-2832.186260323884,-0.0,0.14681124687194824
2,0,9,-47005.04220536067,-0.0,0.23002862930297852
2,0,49,-11057.275156835152,-0.0,0.24502825736999512
2,0,225,-3921.418917409792,-0.0,0.3391449451446533
2,0,441,-3427.9185863373714,-0.0,0.5664105415344238
2,0,729,-3269.2134922906116,-0.0,0.9940569400787354
2,0,1225,-3215.6124481327497,-0.0,2.184631109237671
2,0,2025,-3188.9894760605457,-0.0,5.398744821548462
2,1,9,-63224.80231928432,-0.0,0.22614121437072754
2,1,49,-11497.57609324812,-0.0,0.24453115463256836
2,1,225,-3867.5566264921654,-0.0,0.34250688552856445
2,1,441,-3354.242643816993,-0.0,0.5560016632080078
2,1,729,-3224.902039331464,-0.0,1.000978946685791
2,1,1225,-3174.920806703856,-0.0,2.190871477127075
2,1,2025,-3150.89188904022,-0.0,5.441179513931274
2,2,9,-58516.17763042482,-0.0,0.2384474277496338
2,2,49,-10578.955942039109,-0.0,0.24210643768310547
2,2,225,-3798.31817190774,-0.0,0.34590697288513184
2,2,441,-3299.1011848014823,-0.0,0.5614013671875
2,2,729,-3169.6907007238988,-0.0,0.9978270530700684
2,2,1225,-3118.55800577889,-0.0,2.1838672161102295
2,2,2025,-3092.8750792340434,-0.0,5.427412748336792
2,3,9,-52829.151652955305,-0.0,0.23030900955200195
2,3,49,-11151.660149033545,-0.0,0.244110107421875
2,3,225,-3832.9292779713796,-0.0,0.34000444412231445
2,3,441,-3400.247086760741,-0.0,0.5587055683135986
2,3,729,-3281.7711216018215,-0.0,1.0149872303009033
2,3,1225,-3228.948038827577,-0.0,2.1897566318511963
2,3,2025,-3202.817916150714,-0.0,5.422092437744141
2,4,9,-59526.47945286309,-0.0,0.22867226600646973
2,4,49,-10963.640952346119,-0.0,0.244734525680542
2,4,225,-3866.150824563265,-0.0,0.34552717208862305
2,4,441,-3342.8990330110246,-0.0,0.5584316253662109
2,4,729,-3225.9951612063523,-0.0,1.003744125366211
2,4,1225,-3168.7737495964757,-0.0,2.1807820796966553
2,4,2025,-3143.3614719807883,-0.0,5.427730321884155
3,0,27,-68628.5761783871,-0.0,0.32715535163879395
3,0,125,-30138.7743179057,-0.0,0.38106751441955566
3,0,343,-14723.810033641683,-0.0,0.5720064640045166
3,0,729,-9191.033608892278,-0.0,1.1625120639801025
3,0,1331,-6985.426672313231,-0.0,2.8098223209381104
3,0,2197,-5841.018737751103,-0.0,6.6451520919799805
3,1,27,-70447.85139309049,-0.0,0.3278348445892334
3,1,125,-31582.691578312486,-0.0,0.37505221366882324
3,1,343,-15681.664148682139,-0.0,0.5738983154296875
3,1,729,-9077.174709204497,-0.0,1.1776890754699707
3,1,1331,-6911.722950675707,-0.0,2.800306558609009
3,1,2197,-5868.822316778387,-0.0,6.755337953567505
3,2,27,-73857.6167293693,-0.0,0.34063148498535156
3,2,125,-31798.946499806523,-0.0,0.3775651454925537
3,2,343,-15787.349331641963,-0.0,0.5688505172729492
3,2,729,-9516.6413986724,-0.0,1.1599018573760986
3,2,1331,-6929.065982363558,-0.0,2.8017799854278564
3,2,2197,-5853.013760713904,-0.0,6.676476001739502
3,3,27,-65514.36878964601,-0.0,0.33364272117614746
3,3,125,-30517.75738564514,-0.0,0.373964786529541
3,3,343,-14544.918219041356,-0.0,0.5789506435394287
3,3,729,-9597.519795672844,-0.0,1.1538341045379639
3,3,1331,-6903.13629303583,-0.0,2.8088836669921875
3,3,2197,-5799.423919094057,-0.0,6.625197887420654
3,4,27,-76338.60768486452,-0.0,0.3249356746673584
3,4,125,-31770.473204812737,-0.0,0.3765995502471924
3,4,343,-15190.234639541668,-0.0,0.5678589344024658
3,4,729,-9740.64500977494,-0.0,1.1589994430541992
3,4,1331,-7063.665219508221,-0.0,2.8118526935577393
3,4,2197,-6036.8461387565985,-0.0,6.765855550765991
4,0,81,-82631.26864516255,-0.0,0.45114922523498535
4,0,625,-38627.914421858084,-0.0,1.1453299522399902
4,0,2401,-20111.211768204077,-0.0,8.272699356079102
4,0,6561,-13085.541143834227,-0.0,62.28757047653198
4,1,81,-84616.32783229991,-0.0,0.45293307304382324
4,1,625,-39665.09965276388,-0.0,1.1304547786712646
4,1,2401,-20165.511546535818,-0.0,8.307578563690186
4,1,6561,-13046.547351992158,-0.0,62.3333797454834
4,2,81,-77416.17420980673,-0.0,0.455822229385376
4,2,625,-39146.19175117918,-0.0,1.144434928894043
4,2,2401,-19877.350992834014,-0.0,8.241130113601685
4,2,6561,-12837.283419514977,-0.0,62.31830382347107
4,3,81,-81654.7544991088,-0.0,0.4500768184661865
4,3,625,-38884.32196894983,-0.0,1.1346428394317627
4,3,2401,-19378.904403225213,-0.0,8.193523645401001
4,3,6561,-12516.081449906334,-0.0,62.34135437011719
4,4,81,-82671.81892341762,-0.0,0.45432209968566895
4,4,625,-40023.305052499396,-0.0,1.1122536659240723
4,4,2401,-20095.091730583517,-0.0,8.31986665725708
4,4,6561,-12875.348550659182,-0.0,61.93292021751404
