,dim,marg_lik,mean_log_pred,num_inducing,rep,time
0,1.0,-32376.187454720504,-1.4424993739335035,1.0,0.0,0.23813962936401367
1,1.0,-8145.791034841448,-0.7259567762304644,3.0,0.0,0.23892903327941895
2,1.0,-3088.132266552315,-0.4042116097609188,5.0,0.0,0.24644684791564941
3,1.0,-2132.725782111658,-0.33754617333339354,7.0,0.0,0.24274063110351562
4,1.0,-1706.341235922453,-0.2914734341798706,9.0,0.0,0.24570870399475098
5,1.0,-19409.332961068678,-0.8969916117736512,1.0,1.0,0.6588046550750732
6,1.0,-7250.38139556313,-0.640180492769877,3.0,1.0,0.24154877662658691
7,1.0,-2833.0146457589617,-0.3946306162102752,5.0,1.0,0.24387645721435547
8,1.0,-2117.89918217975,-0.3487403359098447,7.0,1.0,0.35735535621643066
9,1.0,-1788.430597968676,-0.3117705459386885,9.0,1.0,0.246079683303833
10,1.0,-17735.371264564375,-0.8046832169475044,1.0,2.0,0.3454246520996094
11,1.0,-6363.05932049932,-0.5283453575025514,3.0,2.0,0.24042439460754395
12,1.0,-2990.9355749388997,-0.3707544317540306,5.0,2.0,0.24111723899841309
13,1.0,-1964.1703548183032,-0.2864478475567884,7.0,2.0,0.35492396354675293
14,1.0,-1671.3100025600106,-0.2621440840126827,9.0,2.0,0.24357891082763672
15,1.0,-28855.641309033672,-1.3312031831230113,1.0,3.0,0.24389958381652832
16,1.0,-7300.510165275722,-0.6090966743197166,3.0,3.0,0.3556020259857178
17,1.0,-2720.54737304254,-0.3282011504500335,5.0,3.0,0.24293041229248047
18,1.0,-2054.8403405559766,-0.287388626694601,7.0,3.0,0.2434680461883545
19,1.0,-1667.177237075026,-0.25396844715769845,9.0,3.0,0.3517904281616211
20,1.0,-31958.214276664734,-1.2937119082792443,1.0,4.0,0.23981404304504395
21,1.0,-6096.001538806529,-0.5061157401537654,3.0,4.0,0.343630313873291
22,1.0,-2467.8183872615045,-0.30898674794715486,5.0,4.0,0.24713683128356934
23,1.0,-1865.6624051927683,-0.28734817331177215,7.0,4.0,0.24200773239135742
24,1.0,-1636.8720053661855,-0.27635551439650663,9.0,4.0,0.35820746421813965
25,2.0,-35051.12236992618,-1.2147032272981766,1.0,0.0,0.410799503326416
26,2.0,-10205.545149576414,-0.6769878516787029,9.0,0.0,0.505335807800293
27,2.0,-4050.3072382689825,-0.4167877445225762,25.0,0.0,0.5105094909667969
28,2.0,-2357.457759127821,-0.3229002647297506,49.0,0.0,0.4220006465911865
29,2.0,-1927.481926506418,-0.28392199666246337,81.0,0.0,0.5483102798461914
30,2.0,-43331.95459981654,-1.4020788145762362,1.0,1.0,0.41280579566955566
31,2.0,-14880.516224771563,-0.9524477250437247,9.0,1.0,0.5257697105407715
32,2.0,-4234.630729896184,-0.4528082891933158,25.0,1.0,0.5031254291534424
33,2.0,-2379.0297146688426,-0.3001691160038216,49.0,1.0,0.42382264137268066
34,2.0,-1842.765037929501,-0.25989258044564756,81.0,1.0,0.5616426467895508
35,2.0,-31917.543070531912,-1.1540772651604239,1.0,2.0,0.4062032699584961
36,2.0,-11664.45403614212,-0.7912033242639686,9.0,2.0,0.5233578681945801
37,2.0,-4270.620349934194,-0.4909372190851453,25.0,2.0,0.5075619220733643
