,dim,marg_lik,mean_log_pred,num_inducing,rep,time
0,1.0,-125499.83270642816,-1.0843954595017105,1.0,0.0,12.457115888595581
1,1.0,-21205.455480931298,-0.4588835637629132,3.0,0.0,13.061787605285645
2,1.0,-9872.405966763094,-0.3040043258113319,5.0,0.0,13.59120512008667
3,1.0,-7264.672666081053,-0.28255983511902,7.0,0.0,14.09298825263977
4,1.0,-6346.158339228074,-0.27127120236052693,9.0,0.0,14.622150421142578
5,1.0,-67043.11991516988,-0.763925755016637,1.0,1.0,14.90393590927124
6,1.0,-20749.82888324499,-0.44802069549861406,3.0,1.0,15.469590425491333
7,1.0,-9648.634262747393,-0.29684042976223607,5.0,1.0,15.897048473358154
8,1.0,-7297.781026277284,-0.2737215263420336,7.0,1.0,26.182438373565674
9,1.0,-6425.657853096171,-0.26053811822418116,9.0,1.0,14.14799189567566
10,1.0,-95919.3615922129,-1.0002920679764682,1.0,2.0,14.474332809448242
11,1.0,-24131.619166249642,-0.507186308690526,3.0,2.0,15.225438356399536
12,1.0,-12787.797554001358,-0.38842165524911626,5.0,2.0,15.792256593704224
13,1.0,-7201.989968478258,-0.2748856594515032,7.0,2.0,16.213561058044434
14,1.0,-6344.062646908686,-0.2596860862206528,9.0,2.0,16.78059220314026
15,1.0,-66333.59927570964,-0.7987552225417932,1.0,3.0,17.301570653915405
16,1.0,-20148.746172843254,-0.437992543440174,3.0,3.0,17.96139144897461
17,1.0,-10424.917906211223,-0.33481108705505896,5.0,3.0,18.601266145706177
18,1.0,-7165.306909469349,-0.2981078135905611,7.0,3.0,18.983188152313232
19,1.0,-6069.994661989054,-0.2791846660641877,9.0,3.0,19.399123191833496
20,1.0,-77890.6480379363,-0.8915244034530085,1.0,4.0,19.47971248626709
21,1.0,-26132.845165268198,-0.5396608705686853,3.0,4.0,19.619078159332275
22,1.0,-12017.923125383255,-0.3655365856417343,5.0,4.0,20.011781930923462
23,1.0,-7316.150505524594,-0.28071298170244324,7.0,4.0,20.009782552719116
24,1.0,-6211.102705289115,-0.26927536700616655,9.0,4.0,20.249267578125
25,2.0,-171450.67751257218,-1.3450563940586056,1.0,0.0,20.236493349075317
26,2.0,-34406.423190255446,-0.573892531112752,9.0,0.0,20.516461610794067
27,2.0,-12673.887326926182,-0.35448779925278584,25.0,0.0,43.509504556655884
28,2.0,-7748.75067943352,-0.28008454225597973,49.0,0.0,25.864556550979614
29,2.0,-6445.050783763887,-0.2637373468212127,81.0,0.0,35.650675535202026
30,2.0,-157675.8353374726,-1.259257075593779,1.0,1.0,20.133939504623413
31,2.0,-41131.844293709975,-0.6513902034199173,9.0,1.0,20.82845687866211
32,2.0,-13222.802284824502,-0.3799730893137693,25.0,1.0,23.985801935195923
33,2.0,-7913.283387828458,-0.31381882431511393,49.0,1.0,29.54268193244934
34,2.0,-6560.052626531731,-0.2977659108316741,81.0,1.0,45.49075269699097
35,2.0,-155861.9848326893,-1.2314374688044645,1.0,2.0,23.538527965545654
36,2.0,-38524.22200522333,-0.6044420677289875,9.0,2.0,25.5340678691864
37,2.0,-12860.105216966884,-0.3069448448692525,25.0,2.0,27.145346879959106
38,2.0,-7758.068137058639,-0.24085058356864708,49.0,2.0,31.622644424438477
39,2.0,-6499.17360522243,-0.22495118981799248,81.0,2.0,55.42999839782715
40,2.0,-132117.3562143498,-1.12630728443789,1.0,3.0,25.8556969165802
41,2.0,-36604.1873085438,-0.5998765922821644,9.0,3.0,26.6028094291687
42,2.0,-12908.011804171329,-0.3560344146234539,25.0,3.0,28.56900668144226
43,2.0,-7906.066184250172,-0.28387177228915994,49.0,3.0,59.861135721206665
44,2.0,-6518.121665151222,-0.2648327525331237,81.0,3.0,45.6484477519989
45,2.0,-157986.14063359695,-1.268472059897174,1.0,4.0,25.058873176574707
46,2.0,-35935.360394348056,-0.5949071734540962,9.0,4.0,25.372713565826416
47,2.0,-13059.466452729801,-0.3709370175584002,25.0,4.0,28.26088809967041
48,2.0,-7720.974611409329,-0.3001273768817187,49.0,4.0,34.26836562156677
49,2.0,-6339.174799253087,-0.28997573379491925,81.0,4.0,42.03338599205017
50,3.0,-176883.40826526238,-1.3576245401843863,1.0,0.0,28.63051748275757
51,3.0,-46530.92397509738,-0.6884548205805694,27.0,0.0,35.39576244354248
52,3.0,-14064.654799316253,-0.3667175516721176,125.0,0.0,138.11384177207947
53,3.0,-8126.684548492922,-0.2977225799543641,343.0,0.0,512.2850098609924
54,3.0,-182472.1027793716,-1.3824664083863571,1.0,1.0,30.653454065322876
55,3.0,-46840.716797545756,-0.7082993047548107,27.0,1.0,36.79439926147461
56,3.0,-13759.223609347551,-0.3252380815278572,125.0,1.0,114.29469847679138
57,3.0,-8032.840730139535,-0.2482025504527731,343.0,1.0,1045.5084841251373
58,3.0,-154671.60391943535,-1.2493451565948033,1.0,2.0,33.04712963104248
59,3.0,-46349.55026329488,-0.6859765647883994,27.0,2.0,71.7177140712738
60,3.0,-14088.73723929681,-0.36266472712323594,125.0,2.0,126.48470377922058
61,3.0,-8183.09965627233,-0.2831110585543307,343.0,2.0,646.3352046012878
62,3.0,-169164.37031435868,-1.3168536457344726,1.0,3.0,31.233821392059326
63,3.0,-46202.26265120265,-0.7270316886226923,27.0,3.0,35.743003129959106
64,3.0,-14082.760883437848,-0.3981301318930555,125.0,3.0,127.68044447898865
65,3.0,-8190.618763530554,-0.3319084710186465,343.0,3.0,422.42518043518066
66,3.0,-155132.03212259608,-1.2489914433980756,1.0,4.0,36.6333703994751
67,3.0,-45560.599117027115,-0.6857369101774484,27.0,4.0,42.59208679199219
68,3.0,-13931.928164840327,-0.35308299200802284,125.0,4.0,98.5291645526886
69,3.0,-8051.742493984915,-0.30130885339333874,343.0,4.0,889.9869084358215
70,4.0,-198529.32540339004,-1.4579638230288183,1.0,0.0,41.09251546859741
71,4.0,-53405.342762522596,-0.7535113628434705,81.0,0.0,91.51863932609558
72,4.0,-189411.63371958578,-1.4019236198733052,1.0,1.0,42.26483201980591
73,4.0,-53070.26330474959,-0.7435753790756913,81.0,1.0,96.38628911972046
74,4.0,-177003.6994664973,-1.3445845479950758,1.0,2.0,46.44092321395874
75,4.0,-54043.98983478418,-0.7675076143705636,81.0,2.0,98.52909088134766
76,4.0,-181384.48423940543,-1.3390679647786383,1.0,3.0,291.35835003852844
77,4.0,-53309.36831779818,-0.7341432436199601,81.0,3.0,109.33127021789551
78,4.0,-177146.37150639392,-1.3171003634135825,1.0,4.0,45.71258544921875
79,4.0,-53231.69508687437,-0.7378008978863658,81.0,4.0,103.03273820877075
