dim,rep,num_inducing,marg_lik,mean_log_pred,time
1,0,5,-19050.060773476907,-0.0,0.15502572059631348
1,0,9,-5561.421625322328,-0.0,0.15473604202270508
1,0,21,-3448.09983880035,-0.0,0.13797259330749512
1,0,41,-3163.84507536365,-0.0,0.15593481063842773
1,1,5,-13088.984948194666,-0.0,0.15253996849060059
1,1,9,-6029.394128623135,-0.0,0.15311837196350098
1,1,21,-3770.5776797220606,-0.0,0.13815593719482422
1,1,41,-3286.365286488377,-0.0,0.15793490409851074
1,2,5,-12383.805021413857,-0.0,0.1532289981842041
1,2,9,-6279.027073869649,-0.0,0.15351200103759766
1,2,21,-3472.46003331714,-0.0,0.15583419799804688
1,2,41,-3192.6102228792297,-0.0,0.15836668014526367
1,3,5,-11263.091671941627,-0.0,0.1554090976715088
1,3,9,-5629.166570853675,-0.0,0.13579082489013672
1,3,21,-3453.6967402326773,-0.0,0.1357736587524414
1,3,41,-3217.4763977132825,-0.0,0.14244699478149414
1,4,5,-14488.445371593247,-0.0,0.1555495262145996
1,4,9,-6923.187683385746,-0.0,0.15428686141967773
1,4,21,-3546.392434314861,-0.0,0.14217567443847656
1,4,41,-3302.784568843388,-0.0,0.1399848461151123
2,0,9,-43296.40709587166,-0.0,0.27669811248779297
2,0,49,-13920.574211483647,-0.0,0.2781682014465332
2,0,225,-5642.029734091506,-0.0,0.28762364387512207
2,0,441,-4643.568663729799,-0.0,0.3196866512298584
2,0,729,-4353.369030797425,-0.0,0.37692856788635254
2,0,1225,-4155.700587025385,-0.0,0.536461353302002
2,0,2025,-4090.595659645718,-0.0,1.075728416442871
2,1,9,-56660.264089053344,-0.0,0.2762751579284668
2,1,49,-14042.973674697518,-0.0,0.2765696048736572
2,1,225,-5403.390511991514,-0.0,0.2866172790527344
2,1,441,-4583.708788691678,-0.0,0.31560850143432617
2,1,729,-4259.087708333318,-0.0,0.37062668800354004
2,1,1225,-4098.624874996312,-0.0,0.5513260364532471
2,1,2025,-4044.185792232798,-0.0,1.0526981353759766
2,2,9,-53024.83125611715,-0.0,0.28033971786499023
2,2,49,-13247.739773831978,-0.0,0.28412508964538574
2,2,225,-5515.768846197971,-0.0,0.2875959873199463
2,2,441,-4536.152251234809,-0.0,0.31650686264038086
2,2,729,-4200.814923629936,-0.0,0.3758370876312256
2,2,1225,-4064.575858303884,-0.0,0.552849531173706
2,2,2025,-4007.6505125175754,-0.0,1.0629892349243164
2,3,9,-47715.505879456134,-0.0,0.27475690841674805
2,3,49,-13080.791399891015,-0.0,0.2780013084411621
2,3,225,-5416.380739602391,-0.0,0.292388916015625
2,3,441,-4565.97942425681,-0.0,0.3212599754333496
2,3,729,-4292.523454622642,-0.0,0.3750934600830078
2,3,1225,-4147.97823220912,-0.0,0.5556154251098633
2,3,2025,-4092.8786825395073,-0.0,1.0495481491088867
2,4,9,-53987.715692846075,-0.0,0.2807178497314453
2,4,49,-13911.78234974703,-0.0,0.28559279441833496
2,4,225,-5618.1956175334635,-0.0,0.28462743759155273
2,4,441,-4557.873696995543,-0.0,0.3137681484222412
2,4,729,-4252.168829429676,-0.0,0.3688044548034668
2,4,1225,-4116.249310392675,-0.0,0.556814432144165
2,4,2025,-4050.3425344600982,-0.0,1.0588724613189697
3,0,27,-61125.19964451715,-0.0,0.41882872581481934
3,0,125,-32944.40083119867,-0.0,0.4212620258331299
3,0,343,-18986.727989632105,-0.0,0.4443681240081787
3,0,729,-13161.992072374429,-0.0,0.5160870552062988
3,0,1331,-10181.616245404308,-0.0,0.749082088470459
3,0,2197,-8589.627466695347,-0.0,1.3973722457885742
3,1,27,-67550.76126636041,-0.0,0.41684842109680176
3,1,125,-33007.88966955726,-0.0,0.42952728271484375
3,1,343,-19583.348994305197,-0.0,0.4397928714752197
3,1,729,-13224.57002035041,-0.0,0.5100560188293457
3,1,1331,-10268.847835605746,-0.0,0.7454330921173096
3,1,2197,-8648.898256415683,-0.0,1.3837218284606934
3,2,27,-65971.81807192386,-0.0,0.4205963611602783
3,2,125,-34384.9558660468,-0.0,0.42105865478515625
3,2,343,-19792.927717116057,-0.0,0.4405672550201416
3,2,729,-13522.11090053829,-0.0,0.5134992599487305
3,2,1331,-10401.685208813615,-0.0,0.733593225479126
3,2,2197,-8666.00528166184,-0.0,1.4044432640075684
3,3,27,-59575.70394040547,-0.0,0.4281594753265381
3,3,125,-32523.652410363484,-0.0,0.44082117080688477
3,3,343,-18576.482105248062,-0.0,0.44626736640930176
3,3,729,-13129.644206830642,-0.0,0.5123391151428223
