# Solar irradiance dataset from ftp://ftp.ncdc.noaa.gov/pub/data/paleo/climate_forcing/solar_variability/lean2000_irradiance.txt
# citation:
# Lean, J.. 2004.
# Solar Irradiance Reconstruction.
# IGBP PAGES/World Data Center for Paleoclimatology 
# Data Contribution Series # 2004-035.
# NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.v
#
# YEAR       11yrCYCLE  11yrCYCLE+BKGRND
1610.5, 1365.8477, 1364.7338
1611.5, 1365.8342, 1364.7075
1612.5, 1366.2461, 1365.0675
1613.5, 1366.3650, 1365.1611
1614.5, 1366.4451, 1365.2197
1615.5, 1366.1591, 1364.9456
1616.5, 1365.7358, 1364.5469
1617.5, 1365.6107, 1364.4189
1618.5, 1365.6038, 1364.3983
1619.5, 1365.7001, 1364.4717
1620.5, 1365.7001, 1364.4574
1621.5, 1365.7001, 1364.4431
1622.5, 1365.7001, 1364.4290
1623.5, 1365.7001, 1364.4147
1624.5, 1365.6621, 1364.3660
1625.5, 1365.8926, 1364.5509
1626.5, 1365.7816, 1364.4390
1627.5, 1365.7106, 1364.3447
1628.5, 1365.7577, 1364.2544
1629.5, 1365.7261, 1364.1193
1630.5, 1365.5946, 1363.9214
1631.5, 1365.6255, 1363.8699
1632.5, 1365.5946, 1363.8304
1633.5, 1365.6951, 1363.9200
1634.5, 1365.6157, 1363.8397
1635.5, 1365.6249, 1363.8330
1636.5, 1365.5946, 1363.7925
1637.5, 1365.5946, 1363.7799
1638.5, 1366.0768, 1364.2039
1639.5, 1366.1344, 1364.2444
1640.5, 1365.7001, 1363.8243
1641.5, 1365.5946, 1363.6943
1642.5, 1365.9277, 1363.9756
1643.5, 1365.7183, 1363.7336
1644.5, 1365.6761, 1363.6429
1645.5, 1365.5946, 1363.5607
1646.5, 1365.5946, 1363.5587
1647.5, 1365.5946, 1363.5565
1648.5, 1365.5946, 1363.5491
1649.5, 1365.5946, 1363.5402
1650.5, 1365.5946, 1363.5364
1651.5, 1365.5946, 1363.5342
1652.5, 1365.6227, 1363.5597
1653.5, 1365.6010, 1363.5381
1654.5, 1365.5995, 1363.5115
1655.5, 1365.5981, 1363.4792
1656.5, 1365.5989, 1363.4730
1657.5, 1365.5961, 1363.4619
1658.5, 1365.5946, 1363.4460
1659.5, 1365.5946, 1363.4384
1660.5, 1365.6086, 1363.4501
1661.5, 1365.6002, 1363.4434
1662.5, 1365.5946, 1363.4386
1663.5, 1365.5946, 1363.4386
1664.5, 1365.5946, 1363.4391
1665.5, 1365.5946, 1363.4395
1666.5, 1365.5946, 1363.4395
1667.5, 1365.5946, 1363.4385
1668.5, 1365.5946, 1363.4377
1669.5, 1365.5946, 1363.4376
1670.5, 1365.5946, 1363.4374
1671.5, 1365.6010, 1363.4429
1672.5, 1365.5974, 1363.4396
1673.5, 1365.5946, 1363.4374
1674.5, 1365.5961, 1363.4387
1675.5, 1365.5946, 1363.4365
1676.5, 1365.6073, 1363.4467
1677.5, 1365.5967, 1363.4366
1678.5, 1365.5961, 1363.4360
1679.5, 1365.5946, 1363.4348
1680.5, 1365.6002, 1363.4401
1681.5, 1365.5946, 1363.4349
1682.5, 1365.5946, 1363.4349
